"message_from","message_date"
"LP_H1N1","2010-01-22 13:01:59"
"LP_H1N1","2010-01-22 13:01:57"
"shirtblogde","2010-01-22 13:01:56"
"QuakeInHaiti","2010-01-22 13:01:54"
"AmandaWenek","2010-01-22 13:01:52"
"Roatana","2010-01-22 13:01:48"
"kacike1931","2010-01-22 13:01:46"
"fireflieees","2010-01-22 13:01:46"
"hmshaiti","2010-01-22 13:01:46"
"gospeltap","2010-01-22 13:01:45"
"emille_teixeira","2010-01-22 13:01:44"
"jnkay","2010-01-22 13:01:43"
"hopkinsmednews","2010-01-22 13:01:42"
"ChristineAnnC","2010-01-22 13:01:37"
"jamespyles","2010-01-22 13:01:33"
"viequesbound","2010-01-22 13:01:30"
"lamamadelmuerto","2010-01-22 13:01:28"
"omekongo","2010-01-22 13:01:27"
"alanbarkwill","2010-01-22 13:01:26"
"HaitiRewired","2010-01-22 13:01:25"
"RogueSailor","2010-01-22 13:01:23"
"Zeit__Geist","2010-01-22 13:01:22"
"sineadroy","2010-01-22 13:01:19"
"TheStock_Market","2010-01-22 13:01:18"
"viequesbound","2010-01-22 13:01:18"
"Sean__Hannity","2010-01-22 13:01:16"
"SarahPalin__","2010-01-22 13:01:15"
"megbmd","2010-01-22 13:01:14"
"bitsandbytes","2010-01-22 13:01:13"
"RafaPalma","2010-01-22 13:01:13"
"Ria1123","2010-01-22 13:01:13"
"Nouriel_Roubini","2010-01-22 13:01:12"
"baratfoundation","2010-01-22 13:01:08"
"Michael__Moore","2010-01-22 13:01:07"
"DVIDSHub","2010-01-22 13:01:06"
"jjmacgee","2010-01-22 13:01:06"
"viequesbound","2010-01-22 13:01:02"
"LimbaughShow","2010-01-22 13:01:01"
"LimbaughShow","2010-01-22 13:01:01"
"remaxo","2010-01-22 13:00:59"
"remaxo","2010-01-22 13:00:59"
"Gerald__Celente","2010-01-22 13:00:58"
"Gerald__Celente","2010-01-22 13:00:58"
"Audiegrl","2010-01-22 13:00:58"
"Audiegrl","2010-01-22 13:00:58"
"QuakeInHaiti","2010-01-22 13:00:57"
"QuakeInHaiti","2010-01-22 13:00:57"
"GeorgeGallaway","2010-01-22 13:00:56"
"GeorgeGallaway","2010-01-22 13:00:56"
"viequesbound","2010-01-22 13:00:51"
"viequesbound","2010-01-22 13:00:51"
"Bill__Oreilly","2010-01-22 13:00:50"
"Bill__Oreilly","2010-01-22 13:00:50"
"Billy__Gates","2010-01-22 13:00:50"
"christinakr","2010-01-22 13:00:50"
"Beppe_Grillo_","2010-01-22 13:00:49"
"Aljazeera_TV","2010-01-22 13:00:48"
"AlexJonesTV","2010-01-22 13:00:44"
"katecomer","2010-01-22 13:00:43"
"Dolly_World","2010-01-22 13:00:43"
"jessemcclinton","2010-01-22 13:00:39"
